

productTitle,Review Title,Rating,Review Body
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Fantastic Product- perfect for house decor,5.0 out of 5 stars,We are extremely happy with this cute product . Loved the rational attire it has & we are immensely happy to get the surprise gift as well. I intend to buy more proddecor from this brand :-) ucts for my house
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)","So beautiful ,and surprise gift is so sweet with sweet words.",5.0 out of 5 stars,"The media could not be loaded.
                



 Sweet couple"
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",सुन्दर कलाकृति,5.0 out of 5 stars,"किसान डॉल्स खरीद कर संतुष्ट हूँ, सुन्दर कारीगरी का नमूना है, प्रत्येक भारतीय को हमारे देश की पारम्परिक लोक कला को प्रोत्साहन देना चाहिए , ऐसा मेरा मत है अतएव मैंने भी छोटा सा योगदान दिया है , धन्यवाद  जे एच गैलरीअतरिक्त गिफ्ट देने के लिए I"
"JH Gallery Handmade Recycled Material Rajasthani Kisan Dolls Decorative Figurines for Home Decor/Home Furnishing/Figurine/Idol/Gifting Idol (Multicolour, 11 x 11 cm)",Good product,4.0 out of 5 stars,Good product

productTitle,Review Title,Rating,Review Body
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)","Similar as shown in picture, very good prouduct",4.0 out of 5 stars,"Similar as shown in picture, very good prouduct"
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)",Wonderful 😊,5.0 out of 5 stars,A great statuette ... Very sweet and cute looking 🥰
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)",Very beautiful ❤️,5.0 out of 5 stars,Very beautiful
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)",Finishing is not great,4.0 out of 5 stars,Cheeks are extra pink. And finishing is not very clean. But still it's cute.
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)",Idol is beautiful,5.0 out of 5 stars,I gifted this to my friend and she loved it. I saw photo and it looks exactly as shown in picture. I'm going to order more for other relatives.
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)",599 is not worth buying.,2.0 out of 5 stars,Over priced and not lively as shown in the pic.Cheeks were coated in pink and the way it finished was ugly.
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)",Product is of cheap quality,1.0 out of 5 stars,The product not justifies for the price.
"SN handicrafts Hand Carved Baby Krishna Resin Sculpture Lord Krishna Makhan Chor Idol,7X 5 Inch (Blue)",It was ossom to gift your loved once on any occasion. Thanks for such a nice product.,5.0 out of 5 stars,It was a nice piece to gift any heart touchy people who always thinks of u whenever see this item. I liked it most thank you SN handicraft for such a nice product.
productTitle,Review Title,Rating,Review Body
"Handicrafts Paradise Intricate Floral Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm, Set of 2)",Nice Product,4.0 out of 5 stars,Product is cost worthy. Bought a pair of Chowki. But noticed that one piece is broken in corner
"Handicrafts Paradise Intricate Floral Painted Marble Chowki (10.2 cm x 10.2 cm x 2.55 cm, Set of 2)",Working fine as described,4.0 out of 5 stars,Item is small.but working fine
